,Zpid,priceChangeRate,Years,priceChangeRatePerYear,city,homeType
0,15068418,2.357142857142857,24.854794520547944,0.09483654572940288,San Francisco,CONDO
1,15069007,2.8461538461538463,23.824657534246576,0.11946252919114005,San Francisco,CONDO
2,15069867,6.2105263157894735,27.873972602739727,0.2228073624202042,San Francisco,SINGLE_FAMILY
3,15071961,5.195402298850575,26.736986301369864,0.19431517973977455,San Francisco,CONDO
4,15073890,0.679646017699115,9.550684931506849,0.07116201849115807,San Francisco,CONDO
5,15074736,4.406779661016949,25.50958904109589,0.17274992764162672,San Francisco,CONDO
6,15078159,1.3708902821316613,21.865753424657534,0.06269577157975897,San Francisco,CONDO
7,15080212,2.9072164948453607,24.147945205479452,0.12039187889931435,San Francisco,CONDO
8,15082575,3.3085671342685368,10.227397260273973,0.3235004028952628,San Francisco,SINGLE_FAMILY
9,15087372,3.15625,23.0986301369863,0.13664230221800497,San Francisco,CONDO
10,15088322,0.19935948759007216,2.5506849315068494,0.07815919760513033,San Francisco,CONDO
11,15088891,0.2503477051460361,5.035616438356165,0.04971540390549683,San Francisco,SINGLE_FAMILY
12,15107029,8.77124183006536,37.8,0.23204343465781377,San Francisco,SINGLE_FAMILY
13,15112193,2.795,14.580821917808219,0.1916901540774145,San Francisco,SINGLE_FAMILY
14,15119495,0.5325443786982249,6.712328767123288,0.07933824417340901,San Francisco,SINGLE_FAMILY
15,15121217,1.0067001675041878,17.04931506849315,0.059046370101081234,San Francisco,SINGLE_FAMILY
16,15124497,3.659574468085107,22.71780821917808,0.16108835996756682,San Francisco,SINGLE_FAMILY
17,15128059,0.9047380952380952,2.043835616438356,0.44266676241542197,San Francisco,SINGLE_FAMILY
18,15129333,1.5228475228475227,13.002739726027396,0.11711743485869065,San Francisco,MULTI_FAMILY
19,15130857,2.6307692307692307,22.794520547945204,0.11541235207100592,San Francisco,CONDO
20,15134135,3.72189349112426,24.912328767123288,0.14939966174643735,San Francisco,SINGLE_FAMILY
21,15134579,2.2444444444444445,23.09041095890411,0.09720244687022096,San Francisco,SINGLE_FAMILY
22,15145964,8.708333333333334,24.087671232876712,0.36152657719138614,San Francisco,SINGLE_FAMILY
23,15147205,1.198529411764706,21.24931506849315,0.05640320207505386,San Francisco,CONDO
24,15163080,0.13548883756735952,2.8986301369863012,0.04674236834790759,San Francisco,SINGLE_FAMILY
25,15180812,5.25,25.336986301369862,0.20720696366782007,San Francisco,CONDO
26,15181098,1.0464601769911503,21.254794520547946,0.04923407638589454,San Francisco,CONDO
27,15185762,1.8140703517587942,8.142465753424657,0.22279127805920587,San Francisco,SINGLE_FAMILY
28,15190203,0.17196702002355702,4.487671232876712,0.038319879309278576,San Francisco,SINGLE_FAMILY
29,15456870,0.03965028355387523,0.44931506849315067,0.08824605790953939,Daly City,SINGLE_FAMILY
30,15459275,21.959183673469386,44.88493150684931,0.48923286582532666,Daly City,SINGLE_FAMILY
31,15459430,2.8829514563106797,23.147945205479452,0.12454459481043888,Daly City,SINGLE_FAMILY
32,15459635,-0.1364205256570713,0.2328767123287671,-0.5858057866450709,Daly City,SINGLE_FAMILY
33,15459721,0.928409090909091,16.745205479452054,0.055443278498334136,Daly City,SINGLE_FAMILY
34,15459871,0.28428571428571425,15.082191780821917,0.018849098222395222,Daly City,SINGLE_FAMILY
35,15460077,2.0612903225806454,19.756164383561643,0.1043365646570428,Daly City,SINGLE_FAMILY
36,15461618,1.799043062200957,19.54794520547945,0.09203233604812185,Daly City,SINGLE_FAMILY
37,15461811,2.76078431372549,27.5013698630137,0.10038715625720301,Daly City,SINGLE_FAMILY
38,15462330,1.7959999999999998,7.898630136986301,0.22738120013874435,Daly City,MULTI_FAMILY
39,15462333,-0.94055,0.589041095890411,-1.5967476744186047,Daly City,SINGLE_FAMILY
40,15463045,2.9262295081967213,23.627397260273973,0.12384899936129444,Daly City,SINGLE_FAMILY
41,15463790,0.9971428571428571,19.12876712328767,0.05212792077587265,Daly City,SINGLE_FAMILY
42,15465740,1.8221649484536084,20.86027397260274,0.08735095957257251,Daly City,SINGLE_FAMILY
43,15466220,0.5353846153846153,16.517808219178082,0.03241257001416232,Daly City,SINGLE_FAMILY
44,15466232,1.5,17.742465753424657,0.08454292773316863,Daly City,SINGLE_FAMILY
45,15466287,1.2808080808080806,19.104109589041094,0.06704358948730094,Daly City,SINGLE_FAMILY
46,15466401,1.2426095820591234,19.167123287671235,0.06483025978438822,Daly City,SINGLE_FAMILY
47,15467515,3.4848484848484844,23.46849315068493,0.14849050863526697,Daly City,SINGLE_FAMILY
48,15467809,9.0,33.73972602739726,0.26674786845310594,Daly City,SINGLE_FAMILY
49,15467989,5.368713375796179,25.16986301369863,0.21329926876734573,Daly City,SINGLE_FAMILY
50,15470019,2.497810218978102,23.59178082191781,0.10587628962106692,South San Francisco,SINGLE_FAMILY
51,15470801,0.6546762589928057,16.09315068493151,0.04068042807837488,Daly City,SINGLE_FAMILY
52,15470833,4.21304347826087,26.654794520547945,0.1580594993899905,Daly City,SINGLE_FAMILY
53,15471659,1.0404040404040402,9.835616438356164,0.1057792408767339,Daly City,SINGLE_FAMILY
54,15471743,0.9192307692307693,17.21095890410959,0.05340961967036466,Daly City,SINGLE_FAMILY
55,15471756,1.3785714285714286,19.473972602739725,0.07079045743226949,Daly City,SINGLE_FAMILY
56,15472793,2.749996875,23.175342465753424,0.118660463337865,Daly City,SINGLE_FAMILY
57,15473115,3.0384615384615383,23.91780821917808,0.12703762446030487,Daly City,SINGLE_FAMILY
